Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Cannabis Retail Sales,VALUE BUDS AT JASPER GATES,14971 - STONY PLAIN ROAD NW,285825062-009,Issued,,"Nov 28, 2023",Stony Plain Road and Area,4580,West Jasper Place,Nakota Isga,53.540579,-113.579441,"(53.540579041138464, -113.57944058334762)",1,POINT (-113.57944058334762 53.540579041138464)
Cannabis Retail Sales,DOOBIE CANNABIS,5817 - 132 AVENUE NW,295264252-019,Issued,,"Dec 21, 2023",Fort Road and Area,2080,Belvedere,Dene,53.591933,-113.431737,"(53.591933020540864, -113.43173709921139)",1,POINT (-113.43173709921139 53.591933020540864)
Cannabis Retail Sales,NUMO CANNABIS,10765 - 97 STREET NW,291117054-011,Issued,,"Nov 22, 2023",Chinatown and Area,1140,McCauley,O-day'min,53.553458,-113.489688,"(53.553458029700366, -113.48968809912641)",1,POINT (-113.48968809912641 53.553458029700366)
Cannabis Retail Sales,ELEVATE,10022 - 167 STREET NW,286518327-007,Issued,,"Apr 16, 2024",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.539823,-113.609820,"(53.539823044800045, -113.60982007680872)",1,POINT (-113.60982007680872 53.539823044800045)
Cannabis Retail Sales,THE CANNABIS HOUSE,6560 - 170 AVENUE NW,285852567-007,Issued,,"Oct 10, 2023",,2522,McConachie,Dene,53.632946,-113.441714,"(53.63294601931887, -113.44171358316002)",1,POINT (-113.44171358316002 53.63294601931887)
Cannabis Retail Sales,KING STREET CANNABIS,4984 - 92 AVENUE NW,287266269-002,Issued,,"May 26, 2023",,6180,Eastgate Business Park,Métis,53.527115,-113.417270,"(53.527115022644466, -113.41726962420171)",1,POINT (-113.41726962420171 53.527115022644466)
Cannabis Retail Sales,BUDABOOM,4515 - GATEWAY BOULEVARD NW,293272260-007,Issued,,"May 13, 2024",,5110,Calgary Trail North,papastew,53.483321,-113.491101,"(53.48332103400451, -113.49110112228357)",1,POINT (-113.49110112228357 53.48332103400451)
Cannabis Retail Sales,FIRE & FLOWER CANNABIS CO,"122, 9080 - 25 AVENUE SW",291278096-009,Issued,,"Aug 06, 2023",,6213,Summerside,Karhiio,53.410745,-113.481584,"(53.41074503717561, -113.48158364858185)",1,POINT (-113.48158364858185 53.41074503717561)
Cannabis Retail Sales,CANNABIS HOUSE,10888 - JASPER AVENUE NW,287614739-021,Issued,,"Feb 17, 2024",Downtown,1090,Downtown,O-day'min,53.541281,-113.508066,"(53.54128103260323, -113.50806609909118)",1,POINT (-113.50806609909118 53.54128103260323)
Cannabis Retail Sales,CANNA CABANA,9522 - ELLERSLIE ROAD SW,286067932-009,Issued,,"Oct 30, 2023",,6214,Ellerslie Industrial,Karhiio,53.425802,-113.478344,"(53.42580203589723, -113.4783436443034)",1,POINT (-113.4783436443034 53.42580203589723)
Cannabis Retail Sales,SMOKEY'S,7223 - 101 AVENUE NW,296200574-010,Issued,,"May 16, 2023",,6730,Terrace Heights,Métis,53.540912,-113.439792,"(53.54091202450593, -113.4397921145261)",1,POINT (-113.4397921145261 53.54091202450593)
Cannabis Retail Sales,VALUE BUDS AT NW LANDING,737 - MISTATIM WAY NW,287115176-014,Issued,,"May 17, 2023",,4320,Mistatim Industrial,Anirniq,53.603228,-113.579477,"(53.603228037476065, -113.57947656227293)",1,POINT (-113.57947656227293 53.603228037476065)
Cannabis Retail Sales,WAKE N' BAKE CANNABIS,16624 - 109 AVENUE NW,287135564-015,Renewal Notice,,"Apr 13, 2023",,4600,West Sheffield Industrial,Nakota Isga,53.556266,-113.606333,"(53.55626604342209, -113.60633257206669)",1,POINT (-113.60633257206669 53.55626604342209)
Cannabis Retail Sales,CANNA CABANA,"30, 12981 - 50 STREET NW",286090316-009,Issued,,"Oct 29, 2023",,2350,Homesteader,Dene,53.588936,-113.417067,"(53.58893601897179, -113.41706710351535)",1,POINT (-113.41706710351535 53.58893601897179)
Cannabis Retail Sales,MADE IN CANNABIS,"105, 1803 - 91 STREET SW",291940271-004,Issued,,"Sep 01, 2023",,6213,Summerside,Karhiio,53.416820,-113.478722,"(53.41682003647537, -113.47872164720414)",1,POINT (-113.47872164720414 53.41682003647537)
Cannabis Retail Sales,CANNA CABANA,8721 - 156 STREET NW,287020586-008,Issued,,"Feb 14, 2024",,4230,Jasper Park,sipiwiyiniwak,53.520266,-113.589840,"(53.520266043568135, -113.58984008783322)",1,POINT (-113.58984008783322 53.520266043568135)
Cannabis Retail Sales,SPIRITLEAF,10561 - 109 STREET NW,286304126-006,Issued,,"Jun 12, 2023",North Edge,1030,Central McDougall,O-day'min,53.549129,-113.507882,"(53.54912903211962, -113.50788159650048)",1,POINT (-113.50788159650048 53.54912903211962)
Cannabis Retail Sales,CROWN CANNABIS,9533 - 76 AVENUE NW,287151592-010,Issued,,"Oct 07, 2023",,6610,Ritchie,papastew,53.511932,-113.476013,"(53.51193203052175, -113.47601261610318)",1,POINT (-113.47601261610318 53.51193203052175)
Cannabis Retail Sales,CANNA CABANA,8927L - 82 AVENUE NW,285829822-023,Issued,,"Feb 23, 2024",,2360,Industrial Heights,Métis,53.582681,-113.420634,"(53.582680690929685, -113.4206337472698)",1,POINT (-113.4206337472698 53.582680690929685)
Cannabis Retail Sales,PLANT LIFE DISPENSARY (JAGARE RIDGE) LTD.,14130 - 28 AVENUE SW,290602801-005,Issued,,"Dec 17, 2023",,5465,Hays Ridge Area,Ipiihkoohkanipiaohtsi,53.411105,-113.566773,"(53.41110504726026, -113.56677312942072)",1,POINT (-113.56677312942072 53.41110504726026)
Cannabis Retail Sales,NUMO CANNABIS,11733 - 95 STREET NW,287119099-007,Issued,,"Nov 03, 2023",Alberta Avenue,1010,Alberta Avenue,Métis,53.569946,-113.486786,"(53.56994602838524, -113.48678559424238)",1,POINT (-113.48678559424238 53.56994602838524)
Cannabis Retail Sales,VALUE BUDS AT NAMAO,16616 - 95 STREET NW,285974438-007,Issued,,"Oct 10, 2023",,2241,Eaux Claires,tastawiyiniwak,53.628293,-113.487785,"(53.628293025080836, -113.48778457438003)",1,POINT (-113.48778457438003 53.628293025080836)
Cannabis Retail Sales,MOUNTAIN STANDARD CANNABIS,6626 - 127 AVENUE NW,286906833-013,Issued,,"Dec 06, 2023",Fort Road and Area,2020,Balwin,tastawiyiniwak,53.585318,-113.443761,"(53.58531802236102, -113.44376109873403)",1,POINT (-113.44376109873403 53.58531802236102)
Cannabis Retail Sales,MIND-FULL - A CANNABIS DISPENSARY LTD.,14821 - YELLOWHEAD TRAIL NW,287630652-006,Issued,,"Dec 21, 2023",,3160,Dominion Industrial,Anirniq,53.580539,-113.576286,"(53.580539038422074, -113.57628607062728)",1,POINT (-113.57628607062728 53.580539038422074)
Cannabis Retail Sales,VALUE BUDS AT THE MEADOWS,1938 - 38 AVENUE NW,286544646-007,Issued,,"Nov 25, 2023",,6390,Larkspur,Sspomitapi,53.478362,-113.373732,"(53.47836202036649, -113.37373215026071)",1,POINT (-113.37373215026071 53.47836202036649)
Cannabis Retail Sales,FIRE & FLOWER CANNABIS CO,13710 - 42 STREET NW,286530582-006,Issued,,"Dec 16, 2023",,2145,Clareview Town Centre,Dene,53.598053,-113.407302,"(53.59805301727296, -113.40730210264556)",1,POINT (-113.40730210264556 53.59805301727296)
Cannabis Retail Sales,EDMONTON CANNABIS & EDIBLES,10123 - 82 AVENUE NW,286758265-013,Issued,,"Jul 07, 2023",Old Strathcona,6610,Ritchie,papastew,53.517755,-113.492276,"(53.51775503211118, -113.49227561051019)",1,POINT (-113.49227561051019 53.51775503211118)
Cannabis Retail Sales,THE LOCAL CANNABIST,"B1, 14727 - 87 AVENUE NW",291994656-008,Issued,,"Jun 23, 2023",,3270,Laurier Heights,sipiwiyiniwak,53.519042,-113.577254,"(53.519042042142196, -113.57725359105741)",1,POINT (-113.57725359105741 53.519042042142196)
Cannabis Retail Sales,GANJA HUT,7507 - 50 STREET NW,287138180-007,Issued,,"Feb 25, 2024",,6780,Weir Industrial,Métis,53.511275,-113.417720,"(53.51127502363513, -113.41771962939825)",1,POINT (-113.41771962939825 53.51127502363513)
Cannabis Retail Sales,VALUE BUDS AT OFF WHYTE,8015 - 104 STREET NW,285831371-006,Issued,,"Oct 04, 2023",Old Strathcona,5151,Strathcona Junction,papastew,53.516603,-113.496677,"(53.51660303270231, -113.49667660990963)",1,POINT (-113.49667660990963 53.51660303270231)
Cannabis Retail Sales,THE CANNABIS HOUSE,16526 - 59A STREET NW,286324862-007,Issued,,"Dec 14, 2023",,2500,Matt Berry,Dene,53.627699,-113.431494,"(53.62769901840955, -113.43149408722618)",1,POINT (-113.43149408722618 53.62769901840955)
Cannabis Retail Sales,SPIRITLEAF,"20, 13750 - 50 STREET NW",285848948-003,Issued,,"Sep 25, 2023",,2145,Clareview Town Centre,Dene,53.598566,-113.414493,"(53.598566018098445, -113.41449310085639)",1,POINT (-113.41449310085639 53.598566018098445)
Cannabis Retail Sales,GLENORA CANNABIS,12321 - 107 AVENUE NW,286073824-005,Issued,,"Jun 06, 2023",124 Street and Area,3440,Westmount,O-day'min,53.550785,-113.535390,"(53.550785035295895, -113.53539008978208)",1,POINT (-113.53539008978208 53.550785035295895)
Cannabis Retail Sales,ARMSTRONG BLOCK CANNABIS,10129 - 104 STREET NW,287278928-012,Issued,,"Sep 05, 2023",Downtown,1090,Downtown,O-day'min,53.541596,-113.498715,"(53.54159603147232, -113.49871510108113)",1,POINT (-113.49871510108113 53.54159603147232)
Cannabis Retail Sales,DISCOUNTED CANNABIS,17042 - 90 AVENUE NW,295737409-016,Issued,,"Mar 13, 2024",,4520,Summerlea,sipiwiyiniwak,53.525900,-113.617448,"(53.525900046523944, -113.61744757977495)",1,POINT (-113.61744757977495 53.525900046523944)
Cannabis Retail Sales,CANNABIS PIT STOP,6045 - GATEWAY BOULEVARD NW,286539395-011,Issued,,"Jun 14, 2023",,5110,Calgary Trail North,papastew,53.498657,-113.491943,"(53.49865703319851, -113.49194261697217)",1,POINT (-113.49194261697217 53.49865703319851)
Cannabis Retail Sales,SPIRITLEAF,10134 - 82 AVENUE NW,285957792-011,Issued,,"Dec 20, 2023",Old Strathcona,5480,Strathcona,papastew,53.518385,-113.492501,"(53.518385032100774, -113.49250061024892)",1,POINT (-113.49250061024892 53.518385032100774)
Cannabis Retail Sales,CANNA CABANA,"101, 3342 - PARSONS ROAD NW",287225861-006,Issued,,"Jan 20, 2024",,6570,Parsons Industrial,Karhiio,53.467058,-113.487002,"(53.467058034479464, -113.48700162862802)",1,POINT (-113.48700162862802 53.467058034479464)
Cannabis Retail Sales,CANNA CABANA,10828 - 124 STREET NW,286062592-007,Issued,,"Nov 20, 2023",124 Street and Area,3440,Westmount,O-day'min,53.553413,-113.536416,"(53.553413035263695, -113.53641608867024)",1,POINT (-113.53641608867024 53.553413035263695)
Cannabis Retail Sales,LUCID CANNABIS,6613 - 177 STREET NW,300225428-010,Issued,,"Sep 26, 2023",,4080,Callingwood South,sipiwiyiniwak,53.502212,-113.626745,"(53.50221204901951, -113.62674458563525)",1,POINT (-113.62674458563525 53.50221204901951)
Cannabis Retail Sales,ELEVATE,14454 - 118 AVENUE NW,286665862-005,Issued,,"Oct 23, 2024",,3160,Dominion Industrial,Anirniq,53.570720,-113.570517,"(53.570720038309496, -113.57051707522102)",1,POINT (-113.57051707522102 53.570720038309496)
Cannabis Retail Sales,CANNABIS DISCOUNTER,2543 - 17 STREET NW,374271861-002,Issued,,"Oct 15, 2023",,6443,Tamarack,Sspomitapi,53.456771,-113.367374,"(53.456771020896944, -113.3673736588798)",1,POINT (-113.3673736588798 53.456771020896944)
Cannabis Retail Sales,LUX LEAF CANNABIS,1643 - 102 STREET NW,408722312-002,Issued,,"Oct 18, 2023",,6195,South Edmonton Common,Karhiio,53.445134,-113.489796,"(53.44513403610949, -113.48979613530787)",1,POINT (-113.48979613530787 53.44513403610949)
Cannabis Retail Sales,CANNA CABANA,10573 - 114 STREET NW,457374936-002,Issued,,"Jan 11, 2024",North Edge,1180,Queen Mary Park,O-day'min,53.549579,-113.517102,"(53.549579033190305, -113.51710209428339)",1,POINT (-113.51710209428339 53.549579033190305)
Cannabis Retail Sales,MOUNTAIN STANDARD CANNABIS,13124 - 82 STREET NW,358783743-002,Issued,,"Jun 05, 2023",,2420,Killarney,tastawiyiniwak,53.591861,-113.467827,"(53.591861024840696, -113.46782709113057)",1,POINT (-113.46782709113057 53.591861024840696)
Cannabis Retail Sales,MOUNTAIN STANDARD CANNABIS,"202, 11314 - 107 AVENUE NW",347530140-002,Issued,,"Dec 18, 2023",North Edge,1180,Queen Mary Park,O-day'min,53.551694,-113.516549,"(53.551694033000125, -113.51654859369776)",1,POINT (-113.51654859369776 53.551694033000125)
Cannabis Retail Sales,FIRESTONE CANNABIS,9851 - 63 AVENUE NW,327218219-002,Issued,,"Aug 22, 2023",,6650,Rosedale Industrial,papastew,53.499404,-113.485058,"(53.49940403233631, -113.48505761826495)",1,POINT (-113.48505761826495 53.49940403233631)
Cannabis Retail Sales,PLANTLIFE,2217 - 101 STREET NW,361176959-002,Issued,,"Jun 09, 2023",,6195,South Edmonton Common,Karhiio,53.453243,-113.487771,"(53.45324303538874, -113.48777113306039)",1,POINT (-113.48777113306039 53.45324303538874)
Cannabis Retail Sales,SMOKEY'S,2366 - 23 AVENUE NW,438048674-002,Issued,,"Aug 07, 2023",,6442,Silver Berry,Sspomitapi,53.455124,-113.377377,"(53.45512402218097, -113.377377157182)",1,POINT (-113.377377157182 53.45512402218097)
Cannabis Retail Sales,CANNABIS DISCOUNTER,17329 - HILLER ROAD SW,400576814-011,Issued,,"Mar 23, 2024",,5574,Keswick,pihêsiwin,53.420600,-113.619099,"(53.42060005291189, -113.61909911458525)",1,POINT (-113.61909911458525 53.42060005291189)
Cannabis Retail Sales,MIND-FULL THE CANNABIS STORE,10430 - 118 AVENUE NW,373603559-002,Issued,,"Oct 07, 2023",Alberta Avenue,1250,Westwood,O-day'min,53.570585,-113.500749,"(53.570585030009674, -113.50074909089632)",1,POINT (-113.50074909089632 53.570585030009674)
Cannabis Retail Sales,FIRE & FLOWER CANNABIS CO.,11512 - JASPER AVENUE NW,376822962-002,Issued,,"Jan 04, 2024",,1150,Oliver,O-day'min,53.541281,-113.520014,"(53.541281034024614, -113.52001359641444)",1,POINT (-113.52001359641444 53.541281034024614)
Cannabis Retail Sales,CANNABIS HOUSE,"4, 9977 - 178 STREET NW",384493363-002,Issued,,"Feb 07, 2024",,4540,Terra Losa,Nakota Isga,53.537069,-113.625651,"(53.537069046846696, -113.6256510741954)",1,POINT (-113.6256510741954 53.537069046846696)
Cannabis Retail Sales,BOBO'S BUDZ LTD.,12451 - 97 STREET NW,452670461-003,Issued,,"Jan 23, 2025",,1080,Delton,Métis,53.580836,-113.491502,"(53.58083602830675, -113.49150158952531)",1,POINT (-113.49150158952531 53.58083602830675)
Cannabis Retail Sales,BUDABOOM,15803 - 87 AVENUE NW,325299848-008,Issued,,"Dec 05, 2024",,4280,Lynnwood,sipiwiyiniwak,53.519105,-113.595893,"(53.5191050443566, -113.59589258686934)",1,POINT (-113.59589258686934 53.5191050443566)
Cannabis Retail Sales,SPIRITLEAF,4219 - CALGARY TRAIL NW,327925320-005,Issued,,"Dec 07, 2023",,5120,Calgary Trail South,Karhiio,53.478740,-113.493716,"(53.478740034585854, -113.49371562322726)",1,POINT (-113.49371562322726 53.478740034585854)
Cannabis Retail Sales,CANNABIS WORLD INC,3385 - 28A AVENUE NW,436035621-010,Issued,,"Jan 16, 2024",,6442,Silver Berry,Sspomitapi,53.458886,-113.392902,"(53.4588860237981, -113.39290215244515)",1,POINT (-113.39290215244515 53.4588860237981)
Cannabis Retail Sales,CANNABIS HOUSE,3333 - 34 STREET NW,363537870-002,Issued,,"Jun 11, 2023",,6442,Silver Berry,Sspomitapi,53.462738,-113.392646,"(53.462738023538655, -113.39264565122005)",1,POINT (-113.39264565122005 53.462738023538655)
Cannabis Retail Sales,FIRE AND FLOWER,5844 - TERRACE ROAD NW,315098870-008,Issued,,"Nov 23, 2023",,6730,Terrace Heights,Métis,53.540660,-113.425491,"(53.54066002282096, -113.42549111782091)",1,POINT (-113.42549111782091 53.54066002282096)
Cannabis Retail Sales,VALUE BUDS AT SUMMERSIDE,936 - 91 STREET SW,374808492-011,Issued,,"Apr 18, 2023",,6214,Ellerslie Industrial,Karhiio,53.423741,-113.475747,"(53.423741035711615, -113.47574714556973)",1,POINT (-113.47574714556973 53.423741035711615)
Cannabis Retail Sales,LUCID CANNABIS,4355 - 167 AVENUE NW,352660334-002,Issued,,"Feb 25, 2024",,2110,Brintnell,Dene,53.627852,-113.407401,"(53.6278520155315, -113.40740109259256)",1,POINT (-113.40740109259256 53.6278520155315)
Cannabis Retail Sales,CANNABIS DISCOUNTER,1470 - MCCONACHIE BOULEVARD NW,394028255-002,Issued,,"Jun 17, 2023",,2522,McConachie,Dene,53.639696,-113.441556,"(53.63969601890417, -113.44155608091873)",1,POINT (-113.44155608091873 53.63969601890417)
Cannabis Retail Sales,DISCOUNTED CANNABIS,256 - MANNING CROSSING NW,395562459-010,Issued,,"Feb 29, 2024",,2720,York,Dene,53.600276,-113.423304,"(53.60027601904631, -113.42330409830078)",1,POINT (-113.42330409830078 53.60027601904631)
Cannabis Retail Sales,CANNABIS STATION,"187A, 1 - BONNIE DOON SHOPPING CENTRE NW",397216964-002,Issued,,"Jun 14, 2024",French Quarter and Area,6040,Bonnie Doon,Métis,53.520986,-113.457139,"(53.52098601597876, -113.45713941318525)",1,POINT (-113.45713941318525 53.52098601597876)
Cannabis Retail Sales,420 PREMIUM MARKET,12800 - 137 AVENUE NW,355308017-002,Issued,,"Apr 12, 2024",,3340,Pembina,Anirniq,53.601050,-113.542937,"(53.60105003324803, -113.54293657119166)",1,POINT (-113.54293657119166 53.60105003324803)
Cannabis Retail Sales,CANNABIS HOUSE,18320 - LESSARD ROAD NW,390909252-002,Issued,,"Apr 08, 2024",,4110,Dechene,sipiwiyiniwak,53.485976,-113.642292,"(53.48597605182224, -113.64229208759798)",1,POINT (-113.64229208759798 53.48597605182224)
Cannabis Retail Sales,SPIRITLEAF,15274 - 127 STREET NW,379021782-002,Issued,,"Mar 15, 2024",,3150,Cumberland,Anirniq,53.615990,-113.542820,"(53.615990032360294, -113.54281956618313)",1,POINT (-113.54281956618313 53.615990032360294)
Cannabis Retail Sales,CROWN CANNABIS,8329 - CHAPPELLE WAY SW,390771184-005,Issued,,"Jun 07, 2023",,5462,Chappelle,Ipiihkoohkanipiaohtsi,53.396687,-113.593710,"(53.396687051310245, -113.59371012820024)",1,POINT (-113.59371012820024 53.396687051310245)
Cannabis Retail Sales,CANNABIS CELLAR CALLINGWOOD,6813 - 177 STREET NW,399681590-002,Issued,,"Jul 14, 2023",,4080,Callingwood South,sipiwiyiniwak,53.502689,-113.625795,"(53.50268904887855, -113.62579508568757)",1,POINT (-113.62579508568757 53.50268904887855)
Cannabis Retail Sales,NUMO CANNABIS,"1, 10502 - 107 AVENUE NW",445172618-002,Issued,,"Sep 13, 2023",North Edge,1030,Central McDougall,O-day'min,53.551658,-113.501613,"(53.55165803122504, -113.50161309705695)",1,POINT (-113.50161309705695 53.55165803122504)
Cannabis Retail Sales,CROWN CANNABIS,1515 - 50 STREET NW,393210370-002,Issued,,"Jan 10, 2025",,6140,Crawford Plains,Sspomitapi,53.444855,-113.418332,"(53.444855027647996, -113.41833165141068)",1,POINT (-113.41833165141068 53.444855027647996)
Cannabis Retail Sales,FLOWER JUNCTION,5936 - 104 STREET NW,405859031-002,Issued,,"Sep 01, 2023",,5320,Pleasantview,papastew,53.496596,-113.498139,"(53.49659603405651, -113.49813911627302)",1,POINT (-113.49813911627302 53.49659603405651)
Cannabis Retail Sales,PLANTLIFE,5245 - ELLERSLIE ROAD SW,378012638-010,Issued,,"Jul 05, 2023",,6662,Walker,Karhiio,53.423867,-113.422571,"(53.42386702939903, -113.42257065743824)",1,POINT (-113.42257065743824 53.42386702939903)
Cannabis Retail Sales,CANNABIS QUEEN,12621 - 121 AVENUE NW,360709201-002,Issued,,"Apr 28, 2023",,3350,Prince Charles,Anirniq,53.574932,-113.540727,"(53.57493203451449, -113.54072708047562)",1,POINT (-113.54072708047562 53.57493203451449)
Cannabis Retail Sales,SPIRITLEAF,"103, 10903 - 23 AVENUE NW",309072724-002,Issued,,"Apr 30, 2023",,5250,Keheewin,Ipiihkoohkanipiaohtsi,53.453504,-113.509754,"(53.45350403798287, -113.50975362805353)",1,POINT (-113.50975362805353 53.45350403798287)
Cannabis Retail Sales,UNCLE SAM'S CANNABIS,12950 - 97 STREET NW,365132115-008,Issued,,"Mar 02, 2024",,3260,Lauderdale,Anirniq,53.588648,-113.492586,"(53.58864802797718, -113.49258608665522)",1,POINT (-113.49258608665522 53.58864802797718)
Cannabis Retail Sales,LAKEWOOD CANNABIS,1525 - LAKEWOOD ROAD WEST NW,369601853-005,Issued,,"Jan 03, 2024",,6470,Meyonohk,Karhiio,53.458238,-113.460825,"(53.458238031894616, -113.46082513743094)",1,POINT (-113.46082513743094 53.458238031894616)
Cannabis Retail Sales,DISCOUNTED CANNABIS,12918 - 82 STREET NW,422898150-002,Issued,,"Mar 06, 2024",,2420,Killarney,tastawiyiniwak,53.587649,-113.467796,"(53.58764902508445, -113.46779559255407)",1,POINT (-113.46779559255407 53.58764902508445)
Cannabis Retail Sales,DISCOUNTED CANNABIS,13210 - 118 AVENUE NW,383794012-010,Issued,,"Mar 13, 2024",The Crossroads,3170,Dovercourt,Anirniq,53.570963,-113.550686,"(53.57096303593316, -113.5506855795794)",1,POINT (-113.5506855795794 53.57096303593316)
Cannabis Retail Sales,AB BUD,16118 - STONY PLAIN ROAD NW,409996153-009,Issued,,"Dec 19, 2023",Stony Plain Road and Area,4060,Britannia Youngstown,Nakota Isga,53.541596,-113.599794,"(53.54159604350228, -113.59979407845482)",1,POINT (-113.59979407845482 53.54159604350228)
Cannabis Retail Sales,GREEN LEAF CANNABIS,12046 - FORT ROAD NW,395837462-002,Issued,,"May 18, 2023",,1100,Eastwood,Métis,53.574788,-113.460596,"(53.5747880249838, -113.46059559849238)",1,POINT (-113.46059559849238 53.5747880249838)
Cannabis Retail Sales,SPIRITLEAF,11156 - ELLERSLIE ROAD SW,390373722-002,Renewal Notice,,"Apr 13, 2023",,5452,MacEwan,Ipiihkoohkanipiaohtsi,53.425874,-113.518574,"(53.42587404066574, -113.51857363527942)",1,POINT (-113.51857363527942 53.42587404066574)
Cannabis Retail Sales,SPIRITLEAF,3444 - 99 STREET NW,312156161-002,Issued,,"Jun 04, 2023",,6700,Strathcona Industrial Park,Karhiio,53.468471,-113.487929,"(53.468471034505946, -113.48792862794923)",1,POINT (-113.48792862794923 53.468471034505946)
Cannabis Retail Sales,FIRE & FLOWER CANNABIS CO.,2412 - RABBIT HILL ROAD NW,369440861-012,Issued,,"Feb 09, 2024",,5630,Leger,pihêsiwin,53.455664,-113.566778,"(53.455664044627746, -113.56677761458307)",1,POINT (-113.56677761458307 53.455664044627746)
Cannabis Retail Sales,SELECT CANNABIS,10124 - 149 STREET NW,356093840-002,Issued,,"Apr 20, 2024",Stony Plain Road and Area,4090,Canora,Nakota Isga,53.542190,-113.578590,"(53.54219004094278, -113.57859008299731)",1,POINT (-113.57859008299731 53.54219004094278)
Cannabis Retail Sales,VALUE BUDS AT GRIESBACH,"106, 9910 - 137 AVENUE NW",349058888-007,Issued,,"Jun 09, 2023",,3111,Griesbach,Anirniq,53.600627,-113.495232,"(53.60062702758945, -113.49523208203074)",1,POINT (-113.49523208203074 53.60062702758945)
Cannabis Retail Sales,BRIGHTLEAF CANNABIS,12824 - 97 STREET NW,376673191-002,Issued,,"May 31, 2023",,3260,Lauderdale,Anirniq,53.586398,-113.492928,"(53.586398028149986, -113.49292808733522)",1,POINT (-113.49292808733522 53.586398028149986)
Cannabis Retail Sales,VALUE BUDS AT RIVERBEND SQUARE,548 - RIVERBEND SQUARE NW,310620030-007,Issued,,"Nov 06, 2023",,5190,Falconer Heights,pihêsiwin,53.468813,-113.588067,"(53.46881304638254, -113.58806710543928)",1,POINT (-113.58806710543928 53.46881304638254)
Cannabis Retail Sales,CANNABIS 118,,390712944-002,Renewal Notice,,"Mar 06, 2023",,,,,,,,1,
Cannabis Retail Sales,T'S CANNABIS,"BSMT, 5233A - TERWILLEGAR BOULEVARD NW",461676939-002,Issued,,"Feb 08, 2024",,4720,Glastonbury,sipiwiyiniwak,53.493855,-113.666226,"(53.49385530146919, -113.66622561011508)",1,POINT (-113.66622561011508 53.49385530146919)
